[2026-06-01T14:33:48.087Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1780324427232 → 200 (142ms, ?B)
[2026-06-01T14:33:48.201Z] GET http://localhost:3000/admin/dashboard → pending (?ms, ?B)
[2026-06-01T14:33:48.458Z] GET http://localhost:3000/_next/static/media/06ac09dcb8ec7d56-s.p.woff2?v=1780324428323 → 200 (12ms, 14708B)
[2026-06-01T14:33:48.458Z] GET http://localhost:3000/_next/static/media/16fe2f5beb07e519-s.p.woff2?v=1780324428323 → 200 (21ms, 48200B)
[2026-06-01T14:33:48.458Z] GET http://localhost:3000/_next/static/media/422bb7078d9b61dc-s.p.woff2?v=1780324428323 → 200 (23ms, 15620B)
[2026-06-01T14:33:48.458Z] GET http://localhost:3000/_next/static/media/a7358d2e3dd919a9-s.p.woff2?v=1780324428323 → 200 (26ms, 45712B)
[2026-06-01T14:33:48.458Z] GET http://localhost:3000/_next/static/media/dece0821e8ed059f-s.p.woff2?v=1780324428323 → 200 (27ms, 14888B)
[2026-06-01T14:33:48.461Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1780324428323 → 200 (37ms, 164688B)
[2026-06-01T14:33:48.461Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1780324428323 → 200 (137ms, 143147B)
[2026-06-01T14:33:48.461Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1780324428323 → 200 (454ms, ?B)
[2026-06-01T14:33:48.461Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 200 (145ms, 246766B)
[2026-06-01T14:33:48.461Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → 200 (161ms, 851397B)
[2026-06-01T14:33:48.461Z] GET http://localhost:3000/_next/static/chunks/app/error.js → 200 (160ms, 415520B)
[2026-06-01T14:33:48.461Z] GET http://localhost:3000/_next/static/chunks/app/admin/dashboard/page.js → 200 (159ms, 179850B)
[2026-06-01T14:33:48.461Z] GET http://localhost:3000/_next/static/chunks/app/admin/error.js → 200 (161ms, 415835B)
[2026-06-01T14:33:48.605Z] GET http://localhost:3000/_next/static/media/a7358d2e3dd919a9-s.p.woff2 → 200 (?ms, ?B)
[2026-06-01T14:33:48.625Z] GET http://localhost:3000/_next/static/chunks/app/admin/layout.js → 200 (57ms, 2161861B)
[2026-06-01T14:33:48.625Z] GET http://localhost:3000/_next/image?url=%2FMLAND%20LOGO.png&w=32&q=75 → 304 (12ms, ?B)
[2026-06-01T14:33:49.988Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-06-01T14:33:49.989Z] GET http://localhost:3000/admin/dashboard → 200 (144ms, 71465B)
[2026-06-01T14:33:50.025Z] GET http://localhost:3000/_next/static/chunks/_app-pages-browser_node_modules_tanstack_query-devtools_build_DevtoolsComponent_VKXKX7EQ_js.js → 200 (38ms, ?B)
[2026-06-01T14:33:50.221Z] GET http://localhost:3000/_next/static/media/06ac09dcb8ec7d56-s.p.woff2?v=1780324429961 → 200 (40ms, 14708B)
[2026-06-01T14:33:50.221Z] GET http://localhost:3000/_next/static/media/16fe2f5beb07e519-s.p.woff2?v=1780324429961 → 200 (44ms, 48200B)
[2026-06-01T14:33:50.221Z] GET http://localhost:3000/_next/static/media/422bb7078d9b61dc-s.p.woff2?v=1780324429961 → 200 (48ms, 15620B)
[2026-06-01T14:33:50.222Z] GET http://localhost:3000/_next/static/media/a7358d2e3dd919a9-s.p.woff2?v=1780324429961 → 200 (53ms, 45712B)
[2026-06-01T14:33:50.222Z] GET http://localhost:3000/_next/static/media/dece0821e8ed059f-s.p.woff2?v=1780324429961 → 200 (53ms, 14888B)
[2026-06-01T14:33:50.222Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1780324429961 → 200 (44ms, 164688B)
[2026-06-01T14:33:50.222Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1780324429961 → 200 (81ms, 143147B)
[2026-06-01T14:33:50.222Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1780324429961 → pending (?ms, ?B)
[2026-06-01T14:33:50.222Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 304 (84ms, ?B)
[2026-06-01T14:33:50.222Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → 304 (84ms, ?B)
[2026-06-01T14:33:50.222Z] GET http://localhost:3000/_next/static/chunks/app/error.js → 304 (85ms, ?B)
[2026-06-01T14:33:50.222Z] GET http://localhost:3000/_next/static/chunks/app/admin/dashboard/page.js → 304 (86ms, ?B)
[2026-06-01T14:33:50.222Z] GET http://localhost:3000/_next/static/chunks/app/admin/error.js → 304 (86ms, ?B)
[2026-06-01T14:33:50.270Z] GET http://localhost:3000/_next/static/chunks/app/admin/layout.js → 304 (38ms, ?B)
[2026-06-01T14:33:50.270Z] GET http://localhost:3000/_next/image?url=%2FMLAND%20LOGO.png&w=32&q=75 → 304 (39ms, ?B)
[2026-06-01T14:33:50.300Z] GET http://localhost:3000/_next/static/media/a7358d2e3dd919a9-s.p.woff2 → 200 (2ms, ?B)
[2026-06-01T14:33:51.564Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-06-01T14:33:51.583Z] GET http://localhost:3000/_next/static/chunks/_app-pages-browser_node_modules_tanstack_query-devtools_build_DevtoolsComponent_VKXKX7EQ_js.js → 304 (12ms, ?B)
